#{"t_start": 1710455087.7598567, "env_id": "BipedalWalker-v3"}
r,l,t
-102.461934,89,0.202941
-77.596989,1600,1.173785
-101.177856,83,1.225533
-104.876222,73,1.266636
-104.576866,127,1.345641
-122.454917,128,1.416834
-84.017208,1600,2.301046
-95.47981,82,2.349515
-104.501289,65,2.391739
-106.337958,108,2.452207
-94.780937,1600,3.422175
-83.746116,1600,4.414115
-100.231048,100,4.474308
-76.969752,1600,5.439533
-99.236789,69,5.478538
-114.565375,64,5.514459
-159.244078,1270,768.277243
-108.743161,91,973.599967
-117.721846,197,1553.807982
-136.613318,142,1960.020313
-124.338803,406,2500.034591
-124.406781,125,2503.830844
-134.244387,158,2508.087702
-134.886265,389,2520.499494
-120.004645,215,2528.264557
-106.5723,113,2530.156113
-110.452702,46,2532.122429
-117.409779,77,2534.125403
-106.798436,68,2536.115968
-129.107293,134,2541.838109
-107.843785,122,2543.919433
-114.637242,113,2547.881518
-133.592639,235,2555.671028
-116.085386,90,2557.716471
-119.312344,54,2559.657221
-147.982185,476,2578.91788
-136.995195,143,2582.878198
-116.240423,77,2584.742543
-104.375056,93,2586.844666
-106.496814,125,2590.643679
-130.112012,257,2598.644335
-104.741495,73,2602.668587
-103.024832,69,2604.732814
-148.55315,1006,2634.205322
-107.173966,39,2636.419921
-105.229599,43,2638.321312
-170.865372,1068,2670.156173
-123.667714,258,2678.167426
-117.213672,1600,2728.376579
-123.390298,1600,2778.686223
-102.631834,50,2780.577914
-104.66283,61,2782.643956
-105.449758,53,2784.699959
-107.038322,68,2786.644691
-114.009744,92,2788.527872
-106.194628,68,2790.57599
-104.351047,48,2792.574982
-110.106589,58,2794.601155
-104.254926,185,2800.704046
-102.195244,76,2802.788456
-103.815873,65,2804.680601
-100.729171,70,2806.58497
-108.060334,57,2808.55989
-97.379052,1600,2858.109696
-101.616894,71,2860.067693
-101.706626,66,2862.09566
-99.637123,60,2864.253661
-106.116956,80,2868.061134
-105.787771,90,2870.084242
-108.147766,72,2872.282327
-205.006798,1591,2921.047173
-107.629368,78,2922.968071
-96.871517,91,2927.084865
-125.116232,107,2929.24473
-103.499051,84,2933.101928
-99.794192,124,2937.715267
-98.645881,84,2939.650328
-110.000861,324,2949.662641
-145.696075,467,2963.86606
-101.926711,1600,3012.574091
-109.999734,38,3014.706154
-116.220461,123,3018.592293
-112.726364,54,3020.77335
-172.510156,1194,3056.775496
-89.294082,1600,3106.362612
-125.768453,54,3108.402525
-117.102331,41,3110.428291
-110.897192,63,3112.571432
-111.093673,111,3114.471609
-71.612666,1600,3163.680647
-55.847642,1600,3214.280916
-84.827904,156,3219.897266
-69.757769,1600,3269.779254
-96.52829,232,3275.780272
-96.199037,250,3283.623353
-78.947731,1600,3333.792846
-100.174455,91,3337.573519
-100.42069,300,3345.256889
-65.180019,1600,3394.903208
-69.404643,1600,3444.848824
-134.950441,1229,3484.87274
-111.766409,760,3509.722011
-100.890883,96,3511.776293
-78.750474,1600,3562.015958
-90.094459,1600,3612.804406
-70.415688,446,3626.995103
-69.7404,509,3643.226444
-88.503207,144,3647.40097
-81.747094,197,3653.654087
-74.545083,375,3665.621229
-72.472655,204,3672.051565
-102.360527,76,3676.053325
-86.321849,178,3679.947142
-101.007295,77,3683.998609
-94.263317,129,3688.045141
-88.263443,119,3690.109247
-92.162598,420,3704.342682
-50.27001,1600,3757.796296
-100.631075,141,3761.686121
-99.413798,252,3769.60094
-67.403468,382,3781.464629
-63.707535,720,3804.273205
-95.249463,178,3810.228395
-69.429988,448,3824.079395
-88.75631,297,3834.489341
-78.358601,546,3850.724009
-97.945099,133,3854.774938
-54.706557,440,3869.524908
-62.927405,1021,3901.41301
-115.769019,54,3903.385144
-69.432082,800,3929.186417
-64.345405,595,3947.425844
-93.370009,177,3953.174408
-118.357949,67,3955.231272
-81.389385,838,3981.146707
-95.997025,289,3989.423438
-125.973434,101,3993.214283
-108.239341,430,4007.825653
-29.809933,1600,4058.047528
-26.874987,1600,4107.969559
-95.116064,1600,4158.965805
20.858932,1600,4208.894024
-104.058803,723,4230.959362
-93.95665,119,4234.786743
15.831448,1600,4288.345506
-33.471256,676,4308.224787
-55.751362,312,4318.042462
-48.137422,306,4328.019145
-55.451261,394,4340.050253
-89.195907,159,4346.03151
-59.978308,396,4357.994787
-51.693774,549,4374.578972
-97.297926,326,4385.086618
-109.974904,194,4391.239305
-81.189481,235,4399.39544
-79.411651,375,4411.827801
-116.510408,69,4413.958363
211.266712,1600,4463.728252
188.224011,1600,4518.499801
-85.540282,170,4524.551585
2.649264,629,4545.161594
16.403475,870,4572.313664
73.047086,1429,4617.970659
-85.665007,103,4621.85592
-103.194059,155,4626.003071
2.352201,728,4650.947155
192.379236,1600,4702.521084
-52.322997,243,4710.919396
-8.958077,654,4731.141515
-43.046746,534,4747.372194
24.506569,1600,4800.306978
-70.477771,279,4810.775764
-19.435189,660,4831.744003
66.379237,1216,4872.480201
-72.642131,295,4882.796507
14.447268,655,4903.919866
36.690505,958,4934.890438
-66.215819,258,4943.145445
111.815341,1350,4988.296573
-80.282877,252,4996.877322
163.698499,1600,5048.441172
272.434424,1556,5098.784929
76.048699,1105,5133.570198
219.325818,1600,5184.892222
-100.419956,124,5189.056097
-102.849889,59,5191.159242
-81.293704,140,5195.452404
-97.19418,65,5197.366844
263.341446,1600,5248.442622
29.399676,884,5276.600238
223.938748,1600,5333.327021
284.277468,1405,5379.503536
-96.680738,68,5381.621234
279.741774,1523,5432.052488
39.498774,734,5456.5814
285.433958,1439,5503.138965
281.121497,1444,5551.521508
-103.416056,55,5551.594358
-95.555435,102,5555.882294
-104.265101,59,5557.912726
-52.307388,361,5570.717523
82.458244,918,5599.87363
289.022268,1324,5643.221997
-12.874584,545,5660.826391
283.467351,1289,5701.878585
49.254805,718,5724.461994
282.835769,1376,5770.548505
27.373485,598,5789.574929
-18.383587,480,5806.500315
98.260741,834,5833.911256
72.594804,902,5863.25155
40.181976,725,5885.917328
293.713524,1240,5927.766968
-69.836664,282,5936.408623
286.777218,1294,5978.699999
-53.561127,314,5989.25696
-31.141491,401,6001.236603
291.740726,1239,6043.605101
291.691129,1233,6082.950052
173.611915,1131,6119.742052
-36.119523,335,6130.125884
291.436465,1213,6175.415061
293.273845,1249,6214.792719
295.867653,1216,6253.578127
-2.946667,509,6270.065525
293.966242,1324,6313.685205
-18.41017,407,6326.19958
297.054793,1262,6367.980299
145.902402,987,6401.654889
295.604467,1177,6439.727275
295.625583,1186,6479.32765
92.506898,718,6502.621307
294.489446,1113,6537.426304
298.925592,1172,6575.339873
296.550379,1156,6613.061805
298.823026,1047,6647.957001
150.706962,981,6679.154047
295.708003,1085,6713.887577
300.44096,1085,6748.956298
299.346644,1029,6782.042001
-100.581578,63,6784.365387
299.515643,1019,6817.446431
185.298621,1056,6853.27381
114.120273,713,6876.648816
-40.815971,300,6885.463025
-38.137997,252,6894.00686
59.889062,595,6915.323059
55.594002,545,6932.459895
-17.841003,323,6943.077616
297.547045,1072,6980.471457
299.715096,1078,7022.441279
297.171826,1065,7055.622088
296.68685,1052,7091.446615
300.86001,1106,7127.060515
298.411673,1055,7162.057546
-54.715834,287,7170.311663
300.669804,1027,7203.12826
299.914549,1043,7236.359494
-33.451649,264,7246.799223
186.556205,962,7278.432588
297.042312,1049,7310.878753
53.577372,562,7329.821083
185.076362,927,7359.365598
299.815535,1016,7392.321998
-90.424038,87,7396.214573
298.185287,1024,7424.499395
52.695596,583,7438.601222
-36.655124,265,7444.619437
295.017573,1115,7470.473686
301.31704,1064,7495.975409
297.429861,1069,7521.534034
301.47264,1059,7545.940717
300.062595,1063,7571.317837
297.082935,992,7594.015997
297.828382,1088,7620.093108
302.68789,1054,7646.017585
301.19347,1015,7668.427337
302.823217,1018,7697.635883
97.963649,671,7714.363105
300.339044,990,7736.84835
301.011335,967,7759.50351
299.307008,987,7783.925936
303.96559,923,7806.152032
297.99686,975,7830.391636
296.71515,998,7852.835232
25.446328,439,7863.260108
298.269682,969,7886.100909
147.288468,838,7906.09297
303.411458,938,7928.562633
-11.233716,332,7936.164448
298.792808,969,7959.047267
84.268445,625,7973.902719
299.04207,992,7997.118576
302.469366,999,8021.598815
302.533523,1004,8046.138833
300.608954,955,8069.220573
300.686145,941,8090.950242
300.820146,978,8115.146806
304.022118,956,8137.974722
303.46114,943,8159.696999
301.550169,938,8182.576896
301.602857,942,8205.272697
68.199249,543,8217.737392
36.149892,452,8228.407034
31.34073,458,8239.025721
51.108224,517,8252.902375
303.019709,951,8274.843331
-110.613874,74,8277.823391
304.451473,964,8305.327992
94.415444,613,8319.088478
305.227238,919,8341.957322
303.762834,954,8363.229507
305.49443,929,8386.40035
306.607088,978,8409.702195
307.972055,960,8432.815379
305.897679,942,8455.285759
309.480437,956,8478.005337
305.048426,908,8499.187532
309.550235,955,8521.928635
307.298859,928,8543.81303
306.351704,905,8566.144594
304.932617,935,8587.139143
305.185573,923,8610.213021
308.604552,901,8631.990831
307.977603,973,8654.513715
307.975539,901,8675.724788
308.246218,935,8698.336372
305.28129,923,8720.124533
308.199892,934,8743.332654
309.951179,916,8764.942262
311.933313,905,8786.499373
307.775508,893,8807.874057
311.490912,895,8828.922481
310.813696,916,8850.329454
-12.769305,293,8858.046415
306.648218,907,8879.633015
309.164101,867,8904.730191
308.768901,873,8924.246703
-28.229897,274,8931.645597
117.637049,754,8948.33568
306.365415,915,8970.87519
311.877563,873,8990.578692
313.143876,906,9011.73232
312.156041,898,9032.759944
310.679863,904,9055.481049
26.620211,420,9064.86541
309.882086,884,9086.348556
311.454075,884,9108.143454
47.628909,478,9118.773987
309.20079,908,9139.712087
309.029871,910,9162.634954
309.530332,915,9183.845492
311.224797,910,9205.13574
312.631193,878,9226.763535
309.489438,910,9248.370903
309.434938,881,9269.925046
311.026597,865,9289.192459
-93.272415,85,9292.127529
53.630927,492,9302.796744
312.369677,873,9324.481029
304.527172,886,9345.835715
313.148796,847,9366.023178
310.030259,904,9386.789428
309.939389,871,9408.106837
-100.056597,62,9409.549801
312.71004,889,9430.520765
308.999011,871,9450.795912
-100.238307,65,9452.330727
313.729849,894,9473.204415
310.963596,885,9498.726136
308.658265,882,9520.001173
-98.198953,56,9521.500098
313.807302,835,9540.862401
-102.096517,57,9542.605721
310.996821,878,9561.891869
310.821764,844,9582.866773
311.292244,853,9602.43542
310.629443,844,9622.328944
308.91887,856,9644.041768
309.380035,865,9663.710256
311.449326,850,9683.647338
311.532959,856,9704.680258
308.347526,858,9724.130229
308.472671,836,9743.97384
313.347511,847,9764.004956
313.1558,823,9784.109867
312.162567,837,9803.899781
313.947237,821,9823.344891
-90.950666,72,9824.849442
311.578197,840,9844.551135
313.937256,830,9864.010257
312.42236,866,9885.002086
314.158952,830,9904.637388
310.305883,853,9924.20881
311.125388,857,9945.417498
312.495826,851,9965.058336
311.252881,863,9985.439163
311.294881,848,10006.762413
-83.474961,93,10008.287064
-94.509911,64,10009.758805
312.509944,842,10029.503335
313.496866,830,10049.072826
313.969443,861,10070.315894
129.225148,629,10089.939268
311.932345,831,10108.312029
312.998196,860,10129.734465
313.63435,828,10149.84077
311.855837,838,10169.553854
313.467814,839,10189.390259
313.042728,843,10209.153246
313.401555,825,10228.445464
311.547328,840,10248.26639
312.67944,832,10267.904208
313.803012,828,10287.924407
314.781527,837,10307.664402
314.675659,824,10327.595501
314.674599,812,10347.520934
312.656416,842,10367.707313
309.96642,856,10387.281984
311.856503,846,10408.355201
315.247704,831,10428.517465
313.684777,847,10448.180287
313.291981,835,10468.025469
314.431771,832,10487.810907
313.279367,859,10507.927202
13.388743,377,10517.500445
314.440599,827,10537.063265
311.281838,838,10557.339133
313.222541,820,10577.432966
311.334698,846,10597.116931
312.407513,849,10617.29621
310.963205,824,10637.102655
91.099023,531,10650.851459
313.746786,818,10669.456449
312.582266,818,10693.531811
313.533235,814,10712.883559
313.571168,812,10732.49147
315.04781,818,10751.165981
311.369957,802,10770.842315
309.218157,821,10790.49307
312.956349,809,10809.002589
312.083319,822,10828.902857
311.540881,853,10850.229686
313.627358,820,10868.861603
315.489966,811,10888.955141
312.888905,822,10908.444089
-96.721445,67,10909.942692
311.273407,824,10930.080944
312.216526,837,10949.366819
-2.305459,291,10955.537067
314.441559,802,10975.039368
312.873259,819,10994.995992
314.161959,817,11015.038819
313.293881,824,11033.380444
313.035404,835,11053.645696
313.111643,837,11075.131199
312.714648,831,11094.882495
314.243361,813,11113.116183
313.508365,815,11132.891399
313.937528,816,11152.645745
315.225983,824,11172.447252
314.559689,808,11190.821663
312.208869,800,11210.735364
316.029249,819,11230.188615
315.039238,799,11248.826613
313.843011,811,11268.517837
313.777871,831,11292.890172
315.426827,784,11310.864739
-93.389978,74,11312.446805
313.259484,814,11332.441899
316.267662,800,11350.790045
313.534476,787,11370.478321
315.041523,788,11389.013988
313.485909,797,11407.323156
311.522617,812,11426.915377
311.739662,795,11445.441681
314.125109,793,11465.249806
312.506801,798,11483.389916
313.416654,803,11503.263569
317.096205,797,11521.633179
314.854981,796,11541.478007
-98.883848,71,11542.989183
316.068438,791,11561.209604
313.928,793,11581.227087
313.648326,808,11600.008611
315.821134,807,11619.556949
315.323587,800,11638.060441
314.14846,794,11658.118784
316.592959,781,11676.14907
315.961371,811,11695.661406
316.042395,802,11714.361845
314.051737,809,11734.03039
316.485818,775,11752.943099
315.105898,794,11770.92643
316.545152,778,11789.232755
316.629073,778,11808.652177
315.192861,779,11827.211435
24.004025,357,11835.251639
79.888417,485,11847.624075
315.204703,805,11867.199368
312.408928,822,11889.71453
316.70188,805,11909.870942
316.076824,788,11928.392316
314.461116,813,11948.162908
315.285091,791,11966.562753
316.436359,793,11986.137969
315.274493,799,12004.627261
315.181221,788,12024.317441
316.558273,787,12043.122522
318.002507,766,12061.347656
313.968595,811,12080.145582
196.259811,762,12098.769283
314.890674,804,12118.847874
316.972654,785,12137.980787
316.889234,793,12158.361449
314.998728,775,12176.412192
316.608774,795,12194.987653
316.227058,785,12213.121736
317.44671,790,12233.100481
315.933975,801,12252.007025
318.915142,778,12270.233505
316.78657,780,12290.280915
313.366742,783,12308.739089
314.784615,784,12327.110714
316.607095,790,12345.500471
315.581921,789,12365.504687
315.30619,800,12383.893867
318.438118,788,12404.076149
317.095182,812,12422.703196
16.528674,329,12430.331641
314.504896,800,12449.828877
317.153595,777,12468.542037
317.88693,791,12487.308783
316.843981,796,12511.337045
316.296139,806,12529.699541
319.550566,773,12547.887342
316.667279,782,12567.611989
-70.23686,126,12570.741296
316.526464,778,12589.12162
317.648201,772,12607.778389
318.002458,775,12626.316306
318.155458,779,12645.046252
318.773553,770,12663.1623
317.490306,768,12681.620347
318.580395,770,12699.918453
319.965147,795,12719.881244
317.321384,770,12738.107604
317.725279,776,12756.795068
-97.150438,68,12758.345113
318.782889,764,12776.758022
318.64566,778,12795.74435
320.487591,762,12815.071792
318.184543,753,12832.931205
319.403368,765,12851.392748
316.085177,764,12870.012392
316.758988,751,12887.081479
202.944364,730,12904.885525
-90.769226,74,12906.382705
-95.894132,60,12907.871835
320.059484,744,12924.746754
317.308806,812,12944.850337
319.36908,780,12963.044955
322.064486,788,12983.202451
320.504275,804,13001.537848
-7.655378,287,13009.241654
320.768686,778,13027.608708
319.151926,760,13046.078827
321.376837,760,13064.766991
320.8379,740,13081.635304
154.004645,642,13100.773241
320.893762,772,13119.140433
317.288621,765,13137.727415
86.973492,519,13150.317331
320.105353,804,13170.021685
321.620653,766,13188.743294
320.587536,756,13207.054034
317.22096,775,13225.742148
321.853165,770,13244.178192
322.434416,761,13262.508052
320.889794,785,13280.615042
320.291728,755,13299.109946
317.776963,785,13317.775882
318.148021,788,13336.372946
319.450028,757,13354.66713
322.203467,746,13373.525705
319.206924,788,13392.040937
68.308978,445,13402.957437
46.197642,388,13412.139088
320.555102,766,13430.621584
321.362017,776,13449.270917
319.733693,763,13467.518732
323.212834,790,13485.997967
320.103334,763,13504.631133
320.161821,772,13523.203219
320.478369,775,13543.170735
109.82809,527,13555.498279
319.914854,764,13573.847356
320.838687,758,13592.674545
319.16839,751,13609.842975
321.096578,753,13628.640999
322.410619,777,13647.148126
320.632673,784,13665.91446
319.70407,774,13685.737209
-66.727338,134,13688.941504
319.335333,762,13710.463538
319.423489,758,13727.568738
319.772549,756,13746.163033
318.475533,749,13764.807284
320.559261,742,13781.477979
320.700025,734,13800.416459
317.57299,753,13819.342605
319.776446,763,13838.010685
320.522094,752,13855.188992
-95.520591,77,13858.168452
320.655893,785,13876.367641
321.946091,746,13894.895165
322.231444,747,13912.489162
320.28784,763,13930.568614
319.576627,787,13948.349844
316.929815,753,13967.005275
319.283532,757,13985.809854
121.380625,529,13998.642906
318.440382,780,14016.925263
320.053808,765,14035.565424
320.468423,753,14054.200053
320.98927,753,14072.455644
-104.747498,77,14073.996547
318.561565,758,14092.133857
319.72297,759,14110.817855
318.143678,766,14129.097757
319.957872,747,14145.872229
-86.194952,87,14148.978039
320.73059,781,14167.811819
-99.063673,92,14169.421537
319.514065,775,14188.988729
318.399038,740,14206.009495
319.961982,765,14224.658335
320.403023,747,14243.049001
-25.454631,225,14247.411293
322.543057,751,14265.565714
319.654625,777,14284.19366
321.844144,736,14302.56281
50.416171,419,14315.28913
320.089868,766,14334.055423
319.057366,759,14352.280697
319.351145,752,14370.507305
319.141499,753,14388.923544
321.908491,750,14405.821304
318.747492,741,14424.107491
321.215294,738,14441.411355
320.880863,766,14459.437376
192.370649,695,14476.572464
319.805807,755,14495.297731
320.346341,768,14513.622855
322.224698,740,14532.135242
85.015043,481,14543.008616
319.389944,767,14561.474371
321.987876,765,14579.734558
319.295946,761,14598.124795
320.011201,764,14616.3678
320.692962,750,14635.079729
318.250335,786,14653.649981
206.615289,731,14670.230326
318.84669,746,14688.567267
321.937137,727,14705.387455
320.564262,745,14723.923857
322.954452,740,14740.575956
321.689932,741,14759.082817
320.894844,739,14777.813847
323.259096,741,14795.219294
322.105609,745,14813.919986
321.681744,731,14831.47561
319.176977,763,14850.461609
321.676059,725,14869.043428
322.51712,737,14886.163983
321.32942,761,14904.597949
322.098188,750,14927.046589
321.984816,731,14944.040555
320.632653,717,14961.140207
321.977326,734,14979.687776
323.079465,718,14997.173135
322.589898,721,15014.053373
321.675082,731,15032.543686
3.259971,295,15038.913166
322.021826,737,15057.434226
-99.213972,54,15058.946298
322.875541,742,15075.804875
65.136513,413,15086.804317
320.815032,727,15104.086591
323.250911,757,15122.895931
321.770686,758,15141.539286
321.983172,747,15158.284087
324.584776,713,15175.227253
212.256335,729,15193.529159
321.695337,730,15210.384901
322.495496,738,15229.200677
321.718549,730,15246.291719
320.795514,753,15264.886001
322.080322,742,15283.612651
41.328394,356,15291.297669
322.728637,722,15308.412567
322.195673,716,15327.151607
320.604732,733,15344.336022
322.816987,729,15361.197686
18.835861,326,15370.52676
198.998051,691,15385.859321
322.098226,744,15404.575835
321.963448,738,15423.141721
322.367265,724,15440.339945
147.003333,588,15454.238999
57.437112,430,15464.733486
166.251222,608,15478.971692
322.967582,718,15496.018878
321.962917,733,15514.582231
